Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","C100nF","C_0805_2012Metric",87.475000,-63.400000,0.000000,top
"C2","C10uF","C_1206_3216Metric",86.875000,-65.600000,180.000000,top
"C3","C4.7uF","C_1206_3216Metric",86.875000,-68.000000,180.000000,top
"C4","C_330uF","CP_Elec_10x10",104.300000,-63.900000,0.000000,top
"C6","C22nF 50V","C_0805_2012Metric",88.582500,-45.250000,0.000000,top
"C7","C100nF","C_0805_2012Metric",85.800000,-47.400000,180.000000,top
"C8","C2.2-4.7uF ceramic","C_1206_3216Metric",82.782500,-48.400000,90.000000,top
"D1","D_TVS_30V","D_SOD-123",86.950000,-61.200000,180.000000,top
"D2","LED","LED_0805_2012Metric",61.350000,-24.825000,90.000000,top
"D3","D_TVS_5V","D_SOD-123",80.282500,-48.250000,90.000000,top
"R1","R10k","R_0805_2012Metric",89.200000,-70.600000,180.000000,top
"R2","R2k","R_0805_2012Metric",85.625000,-70.600000,180.000000,top
"R4","R330","R_0805_2012Metric",63.600000,-24.800000,90.000000,top
"R5","R33k","R_0805_2012Metric",69.300000,-65.712500,90.000000,top
"R6","R33k","R_0805_2012Metric",71.500000,-65.712500,90.000000,top
"R7","R33k","R_0805_2012Metric",73.700000,-65.712500,90.000000,top
"R8","R33k","R_0805_2012Metric",75.900000,-65.712500,90.000000,top
"R9","R33k","R_0805_2012Metric",78.100000,-65.712500,90.000000,top
"R10","R1k","R_0805_2012Metric",80.600000,-36.900000,0.000000,top
"R11","R100mOHM","R_2010_5025Metric",93.800000,-55.800000,90.000000,top
"R12","R100mOHM","R_2010_5025Metric",93.817500,-47.687500,-90.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_CK_KSC6xxJ",48.100000,-26.500000,0.000000,top
"U1","TMC2209-LA","QFN50P500X500X90-29N",88.332500,-51.750000,-90.000000,top
